Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,6,"Inevitably, this has offered opportunities for fake content to arise and to spread faster than ever, e.g., recent research has shown that fake news spreads six time faster than real news (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,7,"Sometimes such content is created for pure entertainment or for financial gain from advertisement shown alongside the fake content, but more often and especially recently it has been used to spread disinformation, e.g., with the aim to influence political elections (Atanasov et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,8,"To deal with the problem, a number of manual fact-checking initiatives have been launched, but they remain insufficient to cope with the ever growing number of checkworthy claims.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,9,"Recently, a growing number of claims have been about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,10,"The word Fauxtography has been used to describe images, especially news photographs, that convey a questionable, or outright false, sense of the events they seem to depict.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,11,"The term was coined over a decade ago (Cooper , 2007), and there is growing research interest in the topic in the Computer Vision community (Bayar and Stamm , 2016; de Carvalho et al. , 2016).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,12,"Given the recent proliferation of fake news, and given that many of the questionable claims are about images, it would be natural to expect similar interest in the Computational Linguistics community, especially given the fact that visual imagery is more influential than text and naturally appears alongside fake news.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,13,"Yet, computational fact-checking has mostly ignored the growing number of claims about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,14,"6 As we have seen above, there are a number of reasons why an image may be deemed fake.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,15,"In most cases, this involves some kind of digital manipulation, e.g., cropping, splicing, etc.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,16,"However, there are cases when an image is completely legitimate, but it is published alongside some text that does not reflect its content accurately.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",2,"Thus, there has been a lot of research aiming at automating the process.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",3,"Interestingly, previous work has largely ignored the growing number of claims about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",4,This is despite the fact that visual imagery is more influential than text and naturally appears alongside fake news.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",5,"We release our dataset, hoping to enable further research on fact-checking claims about images.As social media become a bigger part of our daily lives, their influence over the way people think and make decisions increases.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",6,"Inevitably, this has offered opportunities for fake content to arise and to spread faster than ever, e.g., recent research has shown that fake news spreads six time faster than real news (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",7,"Sometimes such content is created for pure entertainment or for financial gain from advertisement shown alongside the fake content, but more often and especially recently it has been used to spread disinformation, e.g., with the aim to influence political elections (Atanasov et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",8,"To deal with the problem, a number of manual fact-checking initiatives have been launched, but they remain insufficient to cope with the ever growing number of checkworthy claims.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",9,"Recently, a growing number of claims have been about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",10,"The word Fauxtography has been used to describe images, especially news photographs, that convey a questionable, or outright false, sense of the events they seem to depict.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",11,"The term was coined over a decade ago (Cooper , 2007), and there is growing research interest in the topic in the Computer Vision community (Bayar and Stamm , 2016; de Carvalho et al. , 2016).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",12,"Given the recent proliferation of fake news, and given that many of the questionable claims are about images, it would be natural to expect similar interest in the Computational Linguistics community, especially given the fact that visual imagery is more influential than text and naturally appears alongside fake news.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",13,"Yet, computational fact-checking has mostly ignored the growing number of claims about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",14,"6 As we have seen above, there are a number of reasons why an image may be deemed fake.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",15,"In most cases, this involves some kind of digital manipulation, e.g., cropping, splicing, etc.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.",16,"However, there are cases when an image is completely legitimate, but it is published alongside some text that does not reflect its content accurately.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,2,"Thus, there has been a lot of research aiming at automating the process.",3,"Interestingly, previous work has largely ignored the growing number of claims about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,2,"Thus, there has been a lot of research aiming at automating the process.",4,This is despite the fact that visual imagery is more influential than text and naturally appears alongside fake news.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,2,"Thus, there has been a lot of research aiming at automating the process.",5,"We release our dataset, hoping to enable further research on fact-checking claims about images.As social media become a bigger part of our daily lives, their influence over the way people think and make decisions increases.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,2,"Thus, there has been a lot of research aiming at automating the process.",6,"Inevitably, this has offered opportunities for fake content to arise and to spread faster than ever, e.g., recent research has shown that fake news spreads six time faster than real news (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
